X	Y	Z
1.08E+06	-753530	-155.233
1.08E+06	-757496	-148.219
1.08E+06	-762840	-104.742
1.09E+06	-747639	-172.721
1.09E+06	-743184	-172.721
1.09E+06	-735057	-111.923
1.09E+06	-741359	-172.721
1.09E+06	-738989	-172.721
1.08E+06	-753898	-172.721
1.09E+06	-750358	-172.721
1.08E+06	-770999	-123.027
1.08E+06	-776302	-108.997
1.08E+06	-777410	-172.721
1.08E+06	-774141	-172.721
1.08E+06	-779381	-172.721
1.08E+06	-771345	-172.721
1.08E+06	-762349	-172.721
1.09E+06	-728286	-109.988
1.09E+06	-733471	-172.721
1.09E+06	-730058	-172.721
1.12E+06	-657143	-115.008
1.12E+06	-659775	-111.431
1.12E+06	-662036	-172.721
1.13E+06	-650356	-144.315
1.12E+06	-657781	-172.721
1.13E+06	-652481	-172.721
1.10E+06	-699294	-113.701
1.09E+06	-704663	-163.449
1.10E+06	-702114	-172.721
1.09E+06	-720591	-81.5668
1.09E+06	-721520	-172.721
1.10E+06	-692446	-124.132
1.10E+06	-697474	-155.578
1.10E+06	-696157	-172.721
1.10E+06	-692813	-172.721
1.10E+06	-699538	-172.721
1.10E+06	-708558	-171.96
1.09E+06	-708564	-135.85
1.10E+06	-712468	-172.721
1.10E+06	-708951	-172.721
1.14E+06	-625918	-49.1034
1.13E+06	-630669	-60.4715
1.14E+06	-630593	-172.721
1.13E+06	-635090	-60.0573
1.13E+06	-635429	-172.721
1.13E+06	-642451	-124.898
1.13E+06	-641817	-172.721
1.13E+06	-638806	-172.721
1.13E+06	-645814	-101.894
1.13E+06	-645604	-172.721
1.13E+06	-643582	-172.721
1.13E+06	-649001	-172.721
1.11E+06	-669071	-147.802
1.12E+06	-668345	-172.721
1.12E+06	-664665	-172.721
1.14E+06	923900	-172.721
1.14E+06	918321	-159.325
1.14E+06	907990	-156.078
1.14E+06	912995	-105.443
1.14E+06	910690	-172.721
1.14E+06	917060	-172.721
1.14E+06	880242	-112.587
1.13E+06	878644	-172.721
1.14E+06	867798	-136.268
1.13E+06	870393	-172.721
1.13E+06	867142	-172.721
1.12E+06	838240	-105.277
1.12E+06	843034	-132.561
1.12E+06	842860	-172.721
1.12E+06	841031	-172.721
1.13E+06	846024	-148.615
1.13E+06	846749	-172.721
1.12E+06	845601	-172.721
1.10E+06	826240	-106.743
1.11E+06	827719	-104.087
1.11E+06	830112	-172.721
1.11E+06	829726	-172.721
1.11E+06	829004	-54.8815
1.11E+06	831428	-172.721
1.12E+06	833715	-99.0738
1.11E+06	834679	-172.721
1.12E+06	838506	-172.721
1.12E+06	837539	-172.721
1.24E+06	917461	-149.458
1.25E+06	914149	-167.294
1.25E+06	915904	-172.721
1.14E+06	862334	-156.844
1.14E+06	862680	-172.721
1.10E+06	821413	-69.7208
1.14E+06	852289	-155.558
1.15E+06	857436	-140.124
1.13E+06	846443	-142.599
1.13E+06	850030	-172.721
1.13E+06	849516	-172.721
1.14E+06	848983	-161.068
1.24E+06	921076	-172.721
1.14E+06	850245	-172.721
1.26E+06	890357	-161.501
1.26E+06	884777	-167.482
1.26E+06	885697	-172.721
1.26E+06	869627	-151.38
1.26E+06	866015	-162.471
1.27E+06	868694	-172.721
1.27E+06	869720	-172.721
1.27E+06	860373	-161.197
1.27E+06	863763	-172.721
1.27E+06	866108	-172.721
1.32E+06	874585	-77.2963
1.33E+06	876185	-156.04
1.33E+06	876879	-172.721
1.33E+06	877733	-172.721
1.26E+06	901676	-153.501
1.26E+06	895989	-143.112
1.26E+06	899565	-172.721
1.25E+06	907259	-125.79
1.25E+06	906482	-146.761
1.25E+06	909737	-172.721
1.25E+06	910772	-172.721
1.28E+06	851341	-139.114
1.28E+06	855970	-161.571
1.28E+06	857693	-172.721
1.27E+06	856593	-148.141
1.27E+06	861273	-172.721
1.27E+06	861638	-172.721
1.26E+06	904564	-172.721
1.26E+06	906576	-172.721
1.26E+06	892423	-172.721
1.30E+06	829756	-166.321
1.31E+06	826463	-123.738
1.29E+06	858022	-123.819
1.29E+06	859708	-172.721
1.28E+06	856924	-172.721
1.30E+06	862461	-67.6615
1.30E+06	871001	-149.622
1.29E+06	870270	-172.721
1.29E+06	867085	-172.721
1.29E+06	861763	-110.371
1.29E+06	863367	-172.721
1.29E+06	866047	-172.721
1.32E+06	869782	-81.8637
1.32E+06	875276	-172.721
1.30E+06	841208	-105.612
1.31E+06	839970	-129.869
1.30E+06	851538	-160.783
1.30E+06	846273	-134.839
1.31E+06	846716	-172.721
1.32E+06	850288	-111.386
1.31E+06	843990	-91.3533
1.33E+06	867580	-63.8225
1.33E+06	867856	-172.721
1.33E+06	871019	-172.721
1.31E+06	852275	-115.445
1.32E+06	840220	-131.183
1.32E+06	855137	-80.3547
1.32E+06	846278	-172.721
1.31E+06	838064	-172.721
1.33E+06	865329	-172.721
1.29E+06	898169	-129.89
1.28E+06	893782	-144.032
1.28E+06	892827	-172.721
1.29E+06	894989	-172.721
1.30E+06	873748	-142.895
1.30E+06	875133	-172.721
1.30E+06	873603	-172.721
1.31E+06	872285	-154.874
1.31E+06	873323	-172.721
1.33E+06	859443	-172.721
1.32E+06	856591	-172.721
1.33E+06	876181	-172.721
1.33E+06	876662	-172.721
1.32E+06	822434	-131.833
1.33E+06	823469	-143.205
1.32E+06	825302	-172.721
1.32E+06	812468	-150.211
971160	701897	-110.469
975774	703461	-81.6912
973313	705486	-172.721
971413	704394	-172.721
962349	688532	-101.539
964824	694822	-113.978
959617	694003	-172.721
958909	692724	-172.721
969460	702524	-172.721
952720	683326	-120.149
958961	683290	-85.9473
953771	686530	-172.721
957364	688808	-172.721
945838	679959	-155.486
951912	684169	-172.721
941494	671373	-165.883
947964	671751	-105.265
977653	707955	-129.997
981640	714918	-160.898
977019	708635	-172.721
939856	665189	-124.151
940492	671045	-172.721
934488	665675	-152.023
935590	667596	-172.721
934165	660655	-115.889
932783	665780	-172.721
931111	663332	-172.721
917746	648633	-93.9378
919350	653597	-113.58
914715	652157	-172.721
894154	633290	-97.5108
891873	638767	-151.742
898362	639638	-102.269
909946	647049	-145.606
912356	650183	-172.721
873289	612540	-132.374
873690	619068	-172.721
872282	617685	-172.721
886681	631829	-114.72
882810	634555	-172.721
881807	633234	-172.721
339317	1.53E+06	-153.656
342094	1.53E+06	-172.721
342591	1.48E+06	-154.573
341846	1.47E+06	-126.231
346660	1.48E+06	-172.721
348021	1.47E+06	-158.22
347235	1.48E+06	-172.721
339462	1.50E+06	-138.639
341080	1.49E+06	-141.595
345979	1.49E+06	-172.721
345551	1.48E+06	-172.721
349499	1.46E+06	-159.46
351470	1.47E+06	-172.721
351013	1.47E+06	-172.721
347104	1.45E+06	-151.131
349831	1.45E+06	-161.046
352603	1.45E+06	-172.721
353336	1.44E+06	-172.721
352094	1.43E+06	-145.888
356934	1.43E+06	-169.441
353247	1.43E+06	-160.262
355039	1.44E+06	-172.721
341563	1.50E+06	-165.525
342948	1.50E+06	-156.786
345512	1.50E+06	-172.721
338565	1.51E+06	-152.21
342671	1.51E+06	-172.721
348304	1.46E+06	-156.019
352534	1.45E+06	-172.721
351471	1.46E+06	-172.721
351693	1.46E+06	-172.721
350145	1.42E+06	-122.622
358110	1.42E+06	-172.721
363337	1.43E+06	-172.721
351424	1.42E+06	-133.198
361838	1.38E+06	-172.721
360353	1.37E+06	-172.721
362100	1.38E+06	-172.721
357363	1.37E+06	-140.164
354885	1.36E+06	-139.37
360699	1.36E+06	-172.721
359884	1.37E+06	-172.721
357474	1.42E+06	-165.417
358927	1.42E+06	-172.721
356988	1.41E+06	-153.832
359701	1.40E+06	-125.892
361393	1.41E+06	-172.721
357977	1.41E+06	-172.721
359720	1.40E+06	-172.721
361793	1.40E+06	-172.721
351546	1.39E+06	-124.539
355123	1.39E+06	-149.632
358820	1.36E+06	-136.888
360515	1.35E+06	-146.485
361275	1.34E+06	-161.251
359906	1.34E+06	-129.659
361209	1.34E+06	-172.721
361434	1.36E+06	-172.721
358140	1.33E+06	-137.018
360846	1.33E+06	-161.082
361242	1.33E+06	-172.721
359741	1.32E+06	-172.721
353928	1.31E+06	-115.424
359021	1.32E+06	-172.721
353841	1.29E+06	-140.543
356970	1.29E+06	-172.721
357961	1.29E+06	-172.721
1.16E+06	-602656	-142.128
1.15E+06	-607467	-158.878
1.16E+06	-603142	-172.721
1.16E+06	-590139	-118.493
1.16E+06	-593797	-110.729
1.16E+06	-594155	-172.721
1.16E+06	-591501	-172.721
1.15E+06	-619415	-138.835
1.14E+06	-623835	-96.8523
1.14E+06	-624855	-172.721
1.15E+06	-620963	-172.721
1.15E+06	-597980	-59.0329
1.16E+06	-602210	-172.721
1.15E+06	-608278	-71.8207
1.15E+06	-610459	-172.721
1.15E+06	-612628	-93.6841
1.15E+06	-617972	-172.721
1.15E+06	-614023	-172.721
1.17E+06	-569920	-25.9361
1.17E+06	-575478	-96.8113
1.17E+06	-573651	-172.721
1.17E+06	-572395	-172.721
1.15E+06	-612461	-172.721
1.14E+06	-627329	-172.721
1.14E+06	-626513	-172.721
1.23E+06	-408502	-46.3335
1.23E+06	-414652	-47.9564
1.24E+06	-414949	-172.721
1.25E+06	-402195	-28.933
1.24E+06	-405196	-28.0181
1.24E+06	-406049	-172.721
1.24E+06	-410416	-169.486
1.24E+06	-410835	-172.721
1.23E+06	-421830	-55.2008
1.22E+06	-426265	-36.6109
1.23E+06	-427212	-172.721
1.23E+06	-425580	-172.721
1.22E+06	-431203	-93.0501
1.22E+06	-433071	-34.1558
1.22E+06	-434349	-172.721
1.23E+06	-429262	-172.721
1.23E+06	-419728	-61.1162
1.23E+06	-424733	-172.721
1.21E+06	-435499	-37.8741
1.21E+06	-437012	-172.721
1.22E+06	-435664	-172.721
1.21E+06	-437888	-49.0872
1.21E+06	-444492	-43.9152
1.21E+06	-442792	-172.721
1.20E+06	-449406	-39.0078
1.21E+06	-449307	-172.721
1.20E+06	-452798	-51.3955
1.21E+06	-453390	-172.721
1.29E+06	-377075	-126.838
1.29E+06	-378493	-52.3337
1.29E+06	-379222	-172.721
1.29E+06	-377607	-172.721
1.31E+06	-363720	-83.3298
1.25E+06	-392340	-37.6774
1.32E+06	-359028	-88.2651
1.32E+06	-363284	-172.721
1.32E+06	-360106	-172.721
1.32E+06	-345531	-71.1155
1.31E+06	-348450	-103.551
1.32E+06	-348743	-172.721
1.32E+06	-353462	-89.8472
1.32E+06	-357341	-172.721
1.09E+06	-714702	-133.685
1.10E+06	-713615	-172.721
1.09E+06	-717512	-172.721
1.10E+06	-687126	-131.133
1.11E+06	-690191	-172.721
1.11E+06	-676507	-127.952
1.10E+06	-680908	-103.276
1.11E+06	-681146	-172.721
1.11E+06	-679151	-172.721
1.11E+06	-676227	-172.721
1.11E+06	-672224	-172.721
1.11E+06	-687131	-172.721
1.11E+06	-684863	-172.721
1.14E+06	899518	-165.983
1.14E+06	902654	-126.119
1.13E+06	890845	-152.301
1.14E+06	899096	-172.721
1.13E+06	892288	-172.721
1.09E+06	805222	-127.168
1.08E+06	807976	-172.721
1.08E+06	805920	-172.721
1.10E+06	820882	-91.8644
1.10E+06	824979	-172.721
1.09E+06	816299	-97.8679
1.09E+06	820831	-172.721
1.07E+06	791720	-131.745
1.07E+06	795506	-144.806
1.07E+06	795798	-172.721
1.08E+06	794484	-100.906
1.07E+06	797920	-172.721
1.09E+06	812070	-149.539
1.08E+06	810255	-172.721
1.08E+06	799827	-172.721
1.08E+06	803015	-172.721
1.09E+06	816590	-172.721
1.09E+06	813630	-172.721
1.06E+06	786687	-145.671
1.06E+06	788718	-130.609
1.06E+06	790426	-172.721
1.06E+06	788636	-172.721
1.06E+06	792225	-172.721
1.03E+06	759799	-139.355
1.04E+06	758732	-122.428
1.03E+06	763957	-172.721
1.04E+06	765960	-156.617
1.03E+06	765287	-172.721
1.02E+06	756909	-162.479
1.03E+06	761800	-172.721
1.04E+06	765969	-109.121
1.04E+06	771557	-135.848
1.04E+06	771238	-172.721
1.05E+06	769643	-62.5587
1.05E+06	772131	-45.2691
1.04E+06	768408	-172.721
1.05E+06	780436	-128.29
1.05E+06	778984	-172.721
1.06E+06	782161	-98.4698
1.05E+06	783027	-172.721
1.05E+06	777590	-172.721
1.06E+06	786297	-172.721
1.01E+06	746255	-135.465
1.01E+06	750308	-172.721
1.01E+06	741311	-126.839
1.01E+06	746815	-172.721
1.01E+06	744702	-172.721
1.00E+06	726158	-101.154
1.00E+06	732913	-119.089
1.00E+06	739563	-160.935
1.00E+06	738596	-172.721
1.00E+06	736272	-172.721
1.02E+06	752990	-140.512
1.02E+06	757061	-172.721
1.02E+06	754285	-172.721
1.02E+06	752609	-172.721
1.01E+06	741490	-172.721
995887	726113	-111.024
993304	727838	-172.721
989828	724901	-172.721
996279	732302	-172.721
989204	717457	-77.0223
987239	718871	-172.721
981862	715393	-172.721
975187	707499	-172.721
1.26E+06	879664	-162.398
1.26E+06	874744	-153.818
1.26E+06	876173	-172.721
1.26E+06	879924	-172.721
1.26E+06	883426	-172.721
1.31E+06	833394	-172.721
1.31E+06	821483	-107.556
1.30E+06	875526	-172.721
1.31E+06	873087	-172.721
1.31E+06	813245	-140.902
1.32E+06	817467	-152.391
1.28E+06	898628	-172.721
287190	875270	-164.937
285369	869516	-162.444
286390	869580	-172.721
287800	874723	-172.721
340050	1.25E+06	-111.354
336962	1.24E+06	-114.477
278736	859267	-137.898
281512	852800	-141.777
281369	865794	-152.006
290221	880489	-140.004
291376	878628	-172.721
282645	887968	-172.721
283793	861463	-172.721
286722	853552	-172.721
1.32E+06	806308	-117.277
1.31E+06	815395	-112.491
1.33E+06	801279	-118.23
1.33E+06	807553	-172.721
1.33E+06	817666	-172.721
1.33E+06	795314	-171.421
1.33E+06	801660	-172.721
1.33E+06	791740	-172.721
1.33E+06	772668	-119.918
1.34E+06	769263	-172.721
1.34E+06	763815	-154.959
1.34E+06	758348	-138.328
1.34E+06	753542	-96.4504
1.33E+06	748927	-84.1928
1.34E+06	745415	-101.787
1.34E+06	740330	-86.8293
1.34E+06	743645	-172.721
1.35E+06	736364	-159.975
1.35E+06	730079	-127.704
1.35E+06	731860	-172.721
1.34E+06	742640	-172.721
1.33E+06	783775	-2.72099
1.33E+06	777334	-44.4211
1.34E+06	783543	-172.721
1.34E+06	787640	-172.721
1.35E+06	723168	-111.653
1.35E+06	729897	-172.721
1.35E+06	717084	-111.952
1.35E+06	722957	-172.721
1.36E+06	714534	-161.125
1.36E+06	708479	-131.665
1.36E+06	709493	-172.721
1.36E+06	716886	-172.721
1.36E+06	702642	-121.471
1.36E+06	705817	-172.721
1.36E+06	707204	-172.721
1.37E+06	691974	-133.009
1.37E+06	686168	-111.94
1.38E+06	689328	-172.721
1.37E+06	691349	-172.721
1.37E+06	696352	-127.777
1.37E+06	695780	-172.721
1.38E+06	663301	-118.21
1.39E+06	660095	-151.263
1.39E+06	664435	-172.721
1.38E+06	685939	-146.572
1.38E+06	688247	-172.721
1.38E+06	683139	-114.286
1.38E+06	684865	-172.721
1.38E+06	678536	-105.149
1.38E+06	674341	-154.367
1.39E+06	676501	-172.721
924264	660716	-170.659
929994	657843	-126.29
906157	642952	-127.862
909155	647243	-172.721
904539	643317	-172.721
918284	655207	-172.721
890862	630288	-115.827
886831	633510	-172.721
878401	623280	-142.757
879894	630456	-172.721
877370	624405	-172.721
880880	617920	-116.986
875024	622493	-172.721
872162	607005	-117.993
871132	612063	-172.721
869971	608567	-172.721
863718	597404	-139.04
867554	603739	-147.473
867317	605387	-172.721
851740	581576	-128.749
858633	584837	-106.108
854531	587391	-172.721
852280	585700	-172.721
862532	598574	-172.721
859364	595991	-172.721
862412	590114	-114.896
856148	591367	-172.721
851469	576181	-100.325
835300	569521	-142.494
840487	571735	-118.263
836329	573618	-172.721
834504	571949	-172.721
832974	564384	-114.433
831132	569553	-172.721
829539	568239	-172.721
845947	574034	-116.365
840805	577199	-153.758
843132	580263	-172.721
838322	576406	-172.721
816513	556654	-121.696
820745	559027	-132.34
815682	558161	-172.721
